x	y	z	zMean
21.75	23.375	0	0
21.75	23.475	0	0
21.75	23.575	0	0
21.75	23.675	0	0
21.75	23.775	0	0
21.75	23.875	0	0
21.75	23.975	0	0
21.75	24.075	0	0
21.75	24.175	0	0
21.75	24.275	0	0
21.75	24.375	0	0
21.75	24.475	0	0
21.75	24.575	0	0
21.75	24.675	0	0
21.75	24.775	0	0
21.75	24.875	0	0
21.75	24.975	0	0
21.75	25.075	0	0
21.75	25.175	0	0
21.75	25.275	0	0
21.75	25.375	0	0
21.75	25.475	0	0
21.75	25.575	0	0
21.75	25.675	0	0
21.75	25.775	0	0
21.75	25.875	0	0
21.75	25.975	0	0
21.75	26.075	0	0
21.75	26.175	0	0
21.75	26.275	0	0
21.75	26.375	0	0
21.75	26.475	0	0
21.75	26.575	0	0
21.75	26.675	0	0
21.75	26.775	0	0
21.75	26.875	0	0
21.75	26.975	0	0
21.75	27.075	0	0
21.75	27.175	0	0
21.75	27.275	0	0
21.75	27.375	0	0
21.75	27.475	0	0
21.75	27.575	0	0
21.75	27.675	0	0
21.75	27.775	0	0
21.75	27.875	2	0.020833333
21.75	27.975	4	0.041666667
21.75	28.075	7	0.072916667
21.75	28.175	10	0.10416667
21.75	28.275	24	0.25
21.75	28.375	40	0.41666667
21.75	28.475	37	0.38541667
21.75	28.575	59	0.61458333
21.75	28.675	84	0.875
21.75	28.775	99	1.03125
21.75	28.875	106	1.1041667
21.75	28.975	132	1.375
21.75	29.075	138	1.4375
21.75	29.175	145	1.5104167
21.75	29.275	162	1.6875
21.75	29.375	156	1.625
21.75	29.475	208	2.1666667
21.75	29.575	196	2.0416667
21.75	29.675	189	1.96875
21.75	29.775	200	2.0833333
21.75	29.875	211	2.1979167
21.75	29.975	212	2.2083333
21.75	30.075	216	2.25
21.75	30.175	209	2.1770833
21.75	30.275	184	1.9166667
21.75	30.375	200	2.0833333
21.75	30.475	193	2.0104167
21.75	30.575	171	1.78125
21.75	30.675	152	1.5833333
21.75	30.775	157	1.6354167
21.75	30.875	141	1.46875
21.75	30.975	148	1.5416667
21.75	31.075	176	1.8333333
21.75	31.175	153	1.59375
21.75	31.275	153	1.59375
21.75	31.375	180	1.875
21.75	31.475	170	1.7708333
21.75	31.575	207	2.15625
21.75	31.675	185	1.9270833
21.75	31.775	174	1.8125
21.75	31.875	187	1.9479167
21.75	31.975	188	1.9583333
21.75	32.075	195	2.03125
21.75	32.175	161	1.6770833
21.75	32.275	162	1.6875
21.75	32.375	159	1.65625
21.75	32.475	157	1.6354167
21.75	32.575	155	1.6145833
21.75	32.675	134	1.3958333
21.75	32.775	100	1.0416667
21.75	32.875	118	1.2291667
21.75	32.975	95	0.98958333
21.75	33.075	80	0.83333333
21.75	33.175	72	0.75
21.75	33.275	53	0.55208333
21.75	33.375	47	0.48958333
21.75	33.475	36	0.375
21.75	33.575	27	0.28125
21.75	33.675	17	0.17708333
21.75	33.775	10	0.10416667
21.75	33.875	7	0.072916667
21.75	33.975	1	0.010416667
21.75	34.075	0	0
21.75	34.175	0	0
21.75	34.275	0	0
21.75	34.375	0	0
21.75	34.475	0	0
21.75	34.575	0	0
21.75	34.675	0	0
21.75	34.775	0	0
21.75	34.875	0	0
21.75	34.975	0	0
21.75	35.075	0	0
21.75	35.175	0	0
21.75	35.275	0	0
21.75	35.375	0	0
21.75	35.475	0	0
21.75	35.575	0	0
21.75	35.675	0	0
21.75	35.775	0	0
21.75	35.875	0	0
21.75	35.975	0	0
21.75	36.075	0	0
21.75	36.175	0	0
21.75	36.275	0	0
21.75	36.375	0	0
21.75	36.475	0	0
21.75	36.575	0	0
21.75	36.675	0	0
21.75	36.775	0	0
21.75	36.875	0	0
21.75	36.975	0	0
21.75	37.075	0	0
21.75	37.175	0	0
21.75	37.275	0	0
21.75	37.375	0	0
21.75	37.475	0	0
21.75	37.575	0	0
21.75	37.675	0	0
21.75	37.775	0	0
21.75	37.875	0	0
21.75	37.975	0	0
21.75	38.075	0	0
21.75	38.175	0	0
21.75	38.275	0	0
21.75	38.375	0	0
21.75	38.475	0	0
21.75	38.575	0	0
21.75	38.675	0	0
21.75	38.775	0	0
21.75	38.875	0	0
21.75	38.975	0	0
21.75	39.075	0	0
21.75	39.175	0	0
21.75	39.275	0	0
21.75	39.375	0	0
21.75	39.475	0	0
21.75	39.575	0	0
21.75	39.675	0	0
21.75	39.775	0	0
21.75	39.875	0	0
21.75	39.975	0	0
21.85	20.075	0	0
21.85	20.175	0	0
21.85	20.275	0	0
21.85	20.375	0	0
21.85	20.475	0	0
21.85	20.575	0	0
21.85	20.675	0	0
21.85	20.775	0	0
21.85	20.875	0	0
21.85	20.975	0	0
21.85	21.075	0	0
21.85	21.175	0	0
21.85	21.275	0	0
21.85	21.375	0	0
21.85	21.475	0	0
21.85	21.575	0	0
21.85	21.675	0	0
21.85	21.775	0	0
21.85	21.875	0	0
21.85	21.975	0	0
21.85	22.075	0	0
21.85	22.175	0	0
21.85	22.275	0	0
21.85	22.375	0	0
21.85	22.475	0	0
21.85	22.575	0	0
21.85	22.675	0	0
21.85	22.775	0	0
21.85	22.875	0	0
21.85	22.975	0	0
21.85	23.075	0	0
21.85	23.175	0	0
21.85	23.275	0	0
21.85	23.375	0	0
21.85	23.475	0	0
21.85	23.575	0	0
21.85	23.675	0	0
21.85	23.775	0	0
21.85	23.875	0	0
21.85	23.975	0	0
21.85	24.075	0	0
21.85	24.175	0	0
21.85	24.275	0	0
21.85	24.375	0	0
21.85	24.475	0	0
21.85	24.575	0	0
21.85	24.675	0	0
21.85	24.775	0	0
21.85	24.875	0	0
21.85	24.975	0	0
21.85	25.075	0	0
21.85	25.175	0	0
21.85	25.275	0	0
21.85	25.375	0	0
21.85	25.475	0	0
21.85	25.575	0	0
21.85	25.675	0	0
21.85	25.775	0	0
21.85	25.875	0	0
21.85	25.975	0	0
21.85	26.075	0	0
21.85	26.175	0	0
21.85	26.275	0	0
21.85	26.375	0	0
21.85	26.475	0	0
